account_id,churn_probability,churn_probability_percent,risk_level,health_score,action_priority,recommended_action,industry,country,signup_date,referral_source,initial_plan_tier,initial_seats,churn_flag,subscription_count,ever_upgraded,ever_downgraded,latest_plan_tier,latest_seats,latest_mrr,latest_is_trial,latest_billing_frequency,latest_auto_renew,usage_event_count,total_usage_count,total_usage_duration_secs,total_errors,unique_features_used,active_usage_days,last_usage_date,beta_usage_events,errors_per_100_usage,average_duration_per_event,average_usage_per_event,days_since_last_usage,ticket_count,average_first_response_minutes,average_resolution_hours,average_satisfaction_score,escalation_count,last_support_ticket_date,has_support_tickets,customer_tenure_days,seat_change,plan_changed,days_since_last_support_ticket,has_satisfaction_score,top_risk_signals
A-019782,0.9055373275201073,90.6,High,9.4,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,FR,2023-04-19,event,Enterprise,11,0,9,1,0,Enterprise,15,0,1,annual,0,55,562,160848,30,28,55,2024-12-20,3,5.338078291814947,2924.509090909091,10.21818181818182,11,2.0,107.0,10.0,3.0,0.0,2024-12-01,1,622,4,0,30.0,1,"['categorical__industry_DevTools', 'categorical__country_FR', 'categorical__referral_source_event']"
A-5a184f,0.8887138833101871,88.9,High,11.1,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,DE,2023-06-19,other,Enterprise,1,1,10,0,1,Basic,36,684,0,annual,1,57,587,175629,29,30,55,2024-12-10,2,4.940374787052811,3081.2105263157896,10.298245614035087,21,3.0,42.333333333333336,15.333333333333334,4.333333333333333,0.0,2024-04-13,1,561,35,1,262.0,1,"['categorical__country_DE', 'categorical__industry_DevTools', 'numeric__average_first_response_minutes']"
A-1ac5e0,0.8826996633920009,88.3,High,11.7,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2024-10-20,event,Basic,33,1,10,0,0,Enterprise,33,0,1,monthly,0,56,558,167904,31,31,52,2024-12-11,7,5.555555555555555,2998.285714285714,9.964285714285714,20,7.0,76.0,40.42857142857143,3.8,0.0,2024-09-03,1,72,0,1,119.0,1,"['categorical__industry_DevTools', 'categorical__referral_source_event', 'categorical__latest_plan_tier_Enterprise']"
A-3c1a3f,0.8804064885279432,88.0,High,12.0,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,UK,2023-08-26,event,Pro,1,0,12,0,1,Basic,7,133,0,annual,0,51,497,172341,22,31,49,2024-12-20,5,4.426559356136821,3379.235294117647,9.745098039215684,11,4.0,56.5,33.25,3.5,0.0,2024-03-09,1,493,6,1,297.0,1,"['categorical__industry_DevTools', 'categorical__referral_source_event', 'numeric__latest_auto_renew']"
A-32fb14,0.8783057458902123,87.8,High,12.2,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-03-07,event,Enterprise,26,1,9,1,0,Enterprise,26,5174,0,annual,1,47,488,150708,19,27,44,2024-12-25,2,3.89344262295082,3206.553191489362,10.382978723404255,6,5.0,59.6,34.0,4.5,0.0,2024-09-05,1,665,0,0,117.0,1,"['categorical__industry_DevTools', 'categorical__referral_source_event', 'numeric__errors_per_100_usage']"
A-271f46,0.8682189383572659,86.8,High,13.2,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-02-09,event,Pro,38,1,8,0,0,Enterprise,46,9154,0,monthly,1,38,373,114563,16,25,37,2024-12-20,1,4.289544235924933,3014.815789473684,9.81578947368421,11,1.0,79.0,36.0,,0.0,2023-02-09,1,691,8,1,691.0,0,"['categorical__industry_DevTools', 'categorical__referral_source_event', 'categorical__latest_plan_tier_Enterprise']"
A-d922bf,0.8505580666922072,85.1,High,14.9,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",HealthTech,US,2023-09-08,ads,Basic,5,1,7,0,0,Enterprise,9,1791,0,annual,1,41,419,134119,19,24,40,2024-12-21,3,4.534606205250596,3271.19512195122,10.21951219512195,10,7.0,101.14285714285714,39.142857142857146,3.333333333333333,1.0,2024-07-16,1,480,4,1,168.0,1,"['categorical__latest_plan_tier_Enterprise', 'numeric__subscription_count', 'categorical__country_US']"
A-6c093d,0.8447606952133692,84.5,High,15.5,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2023-04-14,partner,Basic,7,0,12,1,0,Enterprise,7,0,1,annual,1,64,670,217275,30,30,63,2024-12-30,10,4.477611940298507,3394.921875,10.46875,1,3.0,68.33333333333333,40.333333333333336,5.0,1.0,2024-07-11,1,627,0,1,173.0,1,"['categorical__industry_DevTools', 'numeric__active_usage_days', 'categorical__latest_plan_tier_Enterprise']"
A-cd458b,0.8388849704897648,83.9,High,16.1,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",DevTools,US,2024-06-15,other,Basic,10,0,15,0,1,Enterprise,10,1990,0,monthly,1,84,864,266624,45,34,81,2024-12-31,2,5.208333333333334,3174.095238095238,10.285714285714286,0,5.0,81.2,38.4,4.6,0.0,2024-12-02,1,199,0,1,29.0,1,"['numeric__active_usage_days', 'categorical__industry_DevTools', 'numeric__unique_features_used']"
A-7f4db3,0.8386626779096339,83.9,High,16.1,Priority 1 - Review,"Prioritise Customer Success review and investigate usage, subscription and support signals.",FinTech,US,2023-03-05,other,Pro,4,0,15,0,1,Enterprise,24,4776,0,annual,1,90,844,278000,46,36,88,2024-12-20,6,5.450236966824645,3088.8888888888887,9.377777777777778,11,5.0,91.4,16.6,3.25,1.0,2024-08-09,1,667,20,1,144.0,1,"['numeric__active_usage_days', 'numeric__unique_features_used', 'categorical__latest_plan_tier_Enterprise']"
